person_idx,role,travel_path
128,sov,"['2840', '32133', '13828', '12154', '36624', '83599', '81500', '15008', '12153', '81499', '32904', '32903', '12152', '2830', '64690', '15001', '2828', '25606', '12194', '14425', '25515', '14426', '81452', '36631', '81451', '14596', '81453', '14598', '11983', '83104', '83106', '12280', '13592', '10567', '83096', '83098', '10568', '10478', '10480', '10263', '10264', '81447', '83090', '83088', '10265', '81751', '10239', '10242', '22852', '81755', '83079', '83081', '10267', '83017', '84738', '84739', '10268', '10269', '83013', '10270', '81797', '9108', '83009', '9113', '19509', '19512', '83005', '19510', '81805', '19511', '7860', '83214', '7862', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
1381,sov,"['1865', '15291', '9737', '78004', '15248', '9738', '65537', '74398', '65952', '32077', '81962', '81961', '9687', '81960', '82195', '9688', '9689', '15243', '65483', '9380', '25476', '9026', '9023', '9024', '9005', '9006', '9007', '81972', '9008', '9009', '7533', '9033', '9010', '9011', '9012', '81983', '13891', '19501', '14810', '78205', '7717', '14676', '79330', '7720', '7721', '7722', '79346', '7580', '7579', '20300', '19840', '79302', '36287', '19841', '19842', '79301', '19843', '19844', '19845', '64136', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
439,sov,"['1355', '9783', '9782', '81713', '9781', '25429', '9763', '81714', '14851', '9785', '14854', '19582', '78082', '78081', '19581', '81803', '19580', '81802', '19513', '19510', '81805', '19511', '7860', '83214', '7862', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
1377,sov,"['1657', '65053', '19533', '14913', '19599', '19536', '19600', '12867', '64198', '19601', '64194', '19602', '64193', '20412', '79243', '79244', '79245', '79246', '20413', '79241', '20414', '20415', '79240', '20416', '25368', '20417', '64067', '7610', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
974,sov,"['2169', '36539', '12518', '36537', '33048', '36536', '80175', '12519', '80187', '80186', '80185', '12520', '79426', '12310', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
844,sov,"['526', '13677', '79128', '20656', '36317', '20470', '356', '19956', '25383', '19954', '82583', '7880', '7881', '7866', '13836', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
975,sov,"['2110', '36471', '15026', '11394', '36583', '11418', '11399', '72445', '72442', '80237', '11400', '80238', '72440', '65076', '11401', '14201', '13598', '11408', '11423', '11422', '65079', '13563', '36573', '11421', '64581', '11461', '15169', '11459', '11454', '11388', '65081', '15376', '11387', '11385', '80263', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
120,sov,"['3123', '64767', '64768', '10794', '10795', '10796', '64769', '10797', '78001', '10980', '65953', '25478', '10981', '9677', '9678', '65487', '9741', '9679', '9680', '9744', '9666', '81997', '9686', '9687', '81960', '82195', '9688', '9689', '15243', '65483', '9380', '25476', '9026', '9023', '9024', '9005', '9006', '9007', '81972', '9008', '9009', '7533', '9033', '9010', '9011', '9012', '81983', '13891', '19501', '14810', '78205', '7717', '14676', '79330', '7720', '7721', '7722', '79346', '7580', '7579', '20300', '19840', '79302', '36287', '19841', '19842', '79301', '19843', '19844', '19845', '64136', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1313,sov,"['2984', '13449', '13448', '12176', '84075', '12124', '81852', '81851', '12136', '14450', '25534', '21133', '12159', '12756', '81846', '36763', '12137', '66015', '13800', '12993', '81385', '12190', '12978', '12977', '81391', '12979', '12024', '12026', '14333', '83048', '83049', '83051', '83050', '81401', '83046', '11987', '81399', '11989', '14598', '11983', '83104', '83106', '12280', '13592', '10567', '83096', '83098', '10568', '10478', '10480', '10263', '10264', '81447', '83090', '83088', '10265', '81751', '10239', '10242', '22852', '81755', '83079', '83081', '10267', '83017', '84738', '84739', '10268', '10269', '83013', '10270', '81797', '9108', '83009', '9113', '19509', '19512', '83005', '19510', '81805', '19511', '7860', '83214', '7862', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
1315,sov,"['3867', '72670', '32585', '72672', '72650', '11687', '64540', '11666', '72641', '11667', '11574', '11586', '11575', '13526', '79406', '11576', '11577', '11579', '11337', '11338', '11343', '11560', '11339', '11340', '80410', '11390', '11561', '11553', '13528', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
